,text,DA
19989,"Yeah.  /[ [ We, + {D you know, } we, ] + I ] like it there.  /{C And } I think Dallas has enough to offer that they don't have to hog everything <laughter>.  /{C So, }  I'm glad that they're staying in Arlington. /",B
19990,Uh-huh. /,B
19991,"{C And } it's takes us maybe, {F uh, } [ {D we-, } + {D well, } ] thirty-five to forty minutes to get there from Plano, which is not too bad at all. /",S
19993,Yeah. /,B
19994,"{F Um, }",S
20000,"[ H-, + hop ] on the Interstate,  /{C and } the stadium's right off the Interstate <laughter>. /",S
20007,"# {C and } # he reads everything [  he gets, + he [ gets  his, + get his  ] ] hands on.  /He's reading a Dick Vitelle book right now because he's a real big Dick Vitelle fan. /He's a basketball fan because [ he, + he ] plays for the high school he goes to  /{C and } ---- {F uh, } just loves [ D-, + Dick ] Vitelle, <laughter> which not many people do.  /[ {C So, } + {C but } ] he's reading it,  /<sigh> {C and }  he's r-, - /{C and } he says, He's so interesting, Mom.  /You just can't believe all the things he's done. /",S
20013,Uh-huh. /,B
20014,-- wrote it.  /I just heard about it the other night. /,%
20016,"{F Uh, } I was listening to something on the radio --",S
20018,"-- about, {F uh, }",%
20020,"# {D you # know, } a talk show about sports books,  /[ {C and } they, + {C and } they ] mentioned that one. /",%
20032,"-- {F uh, } still you have to deal with the people that, {D you know, } happen to be operating it locally  /{C and, }  {F uh, } it's just a matter [ of, + of ] trust, {D you know, }  /I think they feel that these people are, {F um, } under qualified basically and  underpaid,  /{C and } I think that sort of goes hand in hand  /{C so } [ it's, + it's ] difficult for them. /",%
20035,"{F Uh, } indeed we've, - /our children are now eleven and nine. /",%
20037,{C And } we moved away from institutionalized child care --,S
20039,"-- if we can call those chain  (( kind of things )) ,",%
20041,"like that.  {F Uh, } by that name.",%
20043,"And found that, {F uh, } more creative avenues were the right answer for us. /",%
20045,"{F Uh, } at one point in time we've had au pairs,",S
20047,"by trading services with them, /",%
20049,"# {C and } # that worked for a while,  /{C but } [ they were really, + adequate ones were really  ] tough to find. /",S
20053,"# who # wants to do something and yet is willing to give the time,",%
20055,and the interest to the children. /,%
20059,# {C and } # that's something that we're struggling with now. /,S
20061,"{F Oh, } yeah. /",aa
20063,"Much as other cultures disagree, our lives don't revolve around our children. /",S
20065,"{D Well, } it certainly is.  {F Uh, }  /if I can  ((   ))  the other side of the coin for a moment. /",aa
20067,"It is such an honor and a thrill,",S
20069,"# to be # a parent,",%
20071,"# that # most of the time, it's worth it. /",%
20073,"{D Well, } I just have to be honest about it.  /It's not always,",S
20075,# worth it.  # /,%
20079,"{D Well, } we were lucky when our children were that age,  /{C and } having lived in a community for a while [ and + ] we knew the person to whom we were entrusting our children. /",S
20081,"{C And } felt [ that, + that ]  ((   )) ,",S
20083,# [ and # + ] feeling of safety. /,%
20085,{C And } were leaving them  ((   ))  small children. /,S
20087,"{C But, }  we also learned something from that experience as our children got older. /",S
20089,It's that care givers are not omniscient -- /,S
20091,-- they are not all things to all people --,S
20093,-- or all children. /,%
20095,The ones that are good with babies tend not to be good with toddlers. /,S
20099,"{F Oh, } yeah. /",B
20102,"<Laughter>  {F Oh, } really.  /{D Well, } you sound like your pretty well passed the worst of it as far as worrying about, - /since they're both in school, you don't have to worry about a full-time person to take care of them.  <<Voices fading in and out.>> /",B
20103,"{F Oh, } you don't know what happens after they get in school. /",S
20107,"# somewhere # on one afternoon  /{C and } the other one, of course can't do the same thing. /",%
20119,"We are being cooperative,  /what's wrong with you? /",S
20123,That's just the way their minds work.  /{C And } it's almost everyday. /,S
20129,"{C And } now, I need it. /",S
20139,"{F Uh, } the other one I wouldn't leave unsupervised two minutes. /",S
20143,"What, - /one leads the other? /",%
20145,"{C And, }  {F uh, } -/",%
20149,"[ You don't think, + you don't think ] that good prevails. /",S
20153,{C And } we just couldn't wait to have two children so they would be such friends. /,S
20167,{C And then } you don't really know what happened. /,S
20169,"We gave up on one baby sitter because we came home one night and found pieces of, {F um, } [ ribbon, +",S
20171,"{D you know, } hair ribbon ] --",%
20186,"a cross between a catfish and, {F uh, } I don't know what, a salamander. /",%
20190,"{F Oh, } the mud dog. /",S
20194,"<Laughter> Yeah,  /we'd like to get him a friend  /{C but } {F um, } {F uh, } we haven't found one yet.  /{C So } how about you,  /do you have any pets? /",B
20195,{D Well } at the present time I have two dogs. /,S
20197,"An English setter, {D you know, }  /that's the white dog with the feathers  /{C and } it has,",S
20199,"{F uh, } yellow spots on it which they call, I think, {F uh, } liver spots. /",%
20201,"{C And } that's a male.  /{C And } I have a wonderful female lab, black lab. /",S
20203,"Quite a long time, {F uh, } probably five or six years  /{C and } unfortunately the black lab that's a female, [ [ it, + [ tha-, + ] it's, ] + it's ] the most wonderful animal we've ever had,  /an, i-, - /when she was about three years old we noticed that she was having [ pro-, + {F uh, } problems ] limping and so forth  /{C and, }",S
20205,she has hip dysplasia. /,%
20209,"{C But } now I think there are tests that can be conducted, {F uh, } to tell whether or not the puppies [ have the, + have it. ] /",S
20211,"{C But } I think, - /I don't know,  /apparently they've been so [ in, + ] {D well } I don't know inbred, or what,  /{C but, } -/",%
20215,"Uh-huh,  /{C but } she's wonderful. /",B
20216,"{F Um, } our dog, Joey, has, {F uh, } a back problem. /",S
20222,"{F Um, } e-, - /you just, - /when you touch him a certain way on the back, -/",%
20224,"{C but } otherwise, he can jump, {F uh, } {D you know, } just as long as he doesn't bend a certain way. /",S
20227,"{C And } she wouldn't, - /I, {D you know, } - /the next morning you want to take them out,  /{C and } she wouldn't, - /I couldn't get her up without [ p-, + picking ] her up [ and + ] which it was pretty hard to do at eighty pounds. /",S
20231,"{D Anyway, } I, {F uh, } met my son's, {F uh, } college roommate, is a vet  /{C and } he said, {F um, } let's give her some race horse shots.  /{C And } {D you know } in, - /[ I'm, + I'm ] kind of glad to be able to tell people about this, [ but you, + ] because you all the time, {D you know, } run into people with problems. /",S
20233,"{D Anyway, } that's when we lived in Oklahoma,  /[ {C and, } + {F uh, } {C so } ] he gave this dog a series of  ((   )) , - /it's, - /they give it to race horses, {F uh, } to get rid of, {F uh } cartilage, /",S
20235,"{C and } it's called  ((   )) .  /{D Anyway, } it's a series of six shots, once a week,  /{C and then } I noticed after two shots she was, -/",S
20241,"{C And, }  {F uh, } after [ the, + the ] second shot she was significantly better.  /Then I didn't notice any improvement till [ the, + after the ] sixth one. /",S
20243,"{C And } ever since, - /{C and } he said, {F uh, } a booster, {F uh, } every year or two,",%
20245,"{E I mean, } maybe every six months [ or, + or ] something like that  /and when I notice in the winter, when it's worse, {D you know, } it's cold weather and so  forth then I have, {F uh, } gotten a booster for her.  /{C But } not many people in this part of the country know anything about  ((   )) . /",%
20249,"{C So } dogs that get down in the hips, - /{D like } I think German Shepherds do it, and probably large dogs. /",S
20251,"{C And, }  {F uh, } it's just wonderful. /",S
20257,"{F uh, } {F uh, } go away from me,  /{C but } we take walks through the woods twice a day. /",%
20261,"{C But } {D anyway, } at least she can go  /{C and } she's not limping along and all that. /",S
20268,"he's got a way to get in,  /he's got free access of a window we like to keep open. /",%
20270,"{C So, }  he gets to go in and out whenever he wants to. /",S
20278,Uh-huh. /,B
20279,"{C So } I kept watch and never let them get away,  /{C but } {D now } every couple weeks, [ they wou-, + one would ] slip away  /{C and } my neighbor said to me, {F oh, } I noticed those [ dogs, +  dogs ] are so well trained,  /anytime they hear your voice, they come.  /{C So } that made me very proud <laughter>. /",S
20290,"Yeah,  /{D so } I didn't know if they stop you when the time is up  /{C or, } -/",B
20293,"[ after, + after ] about twelve minutes or something,",%
20303,"{F Um, } {D so. } -/",%
20312,"Does he.  /Yeah,  /I need to, -/",B
20313,Yes. /,B
20314,"I've got some applications,  /I need to hand them out.  /{C But, }  {F uh, } this is a great project, that they're working on  /{C and } it's really going to lead the way, {F uh, } for a lot of [ econ-, + ] {F um, } applications [ and, + and ] development in the voice area. /",S
20326,"-- {C and, }  {F um, } I guess I usually plan probably a lettuce salad and [ a, + a ] potato dish,  /{C and } we usually serve fresh fruit and, {F uh, } then make a dessert. /",S
20340,"[ I've heard, + {D you know, } I've heard ] a lot of people say, [ it, + ] the short cut on the cooking for lasagna,  /[ they, + they've ] told me that they go to Sam's and buy a great big pan of lasagna. /",S
20352,"[ I feel like, + I feel like ] I'm in the kitchen cooking a lot. /",S
20356,"{C So, }  feels like I'm often in the kitchen. /",S
20367,-- shell -- /,%
20369,"-- {C and } you, {F uh,  } - /for all the inside parts you brown hamburger and put some, {F um, } tomato sauce in it,  /[ {C and, } +  {C and } ] I like to just add picante sauce to get the Mexican flavor  /{C so } you don't have to mess with spices and stuff. /",%
20373,"-- and then the, {F um, } lettuce,  /{C and } you can put, {F uh, } {D like } guacamole and <<to someone in the room>> - /Katy, I'm on the phone.  /{D Well, } get a towel or go change.  /I'm on the phone.  /<<Back to phone.>>  {F Um, } {F oh } a little sour cream is good --",%
20375,"-- [ and, + and ] chopped olives, /",%
20379,"No,  /I don't very often.  /Usually when we get avocados my kids just like to eat them plain -- /",aa
20388,"{F Oh, } {D well, } [ we made, + I made ] guacamole that I would take to a pool party across the street the other day,  /[ {C and, } +  {C and } ] everyone there said they never made guacamole salad. /",S
20394,"-- so quickly,  /{C so } I just, -/",%
20399,"That's supposed to help [ keep the, + {F um, } keep it ] from turning brown so quick. /",S
20402,"-- ever thought it would,  /{C so. } -/",%
20410,"# the ground turkey, # [ it's, + ] the meat is softer  /{C and } I, - /everybody --",S
20414,-- often buy it -- /,%
20416,"-- we buy it, /",S
20422,"{C Or } in, -/",%
20425,"Poultry instead of the beef and ---- pork,  /yeah <laughter>. /",S
20427,"Yeah,  /[ I, + I ] can't think of any other specific things I like to serve.  {F Um, } /",aa
20431,-- that's good --,S
20436,"{D Well, } this is the season for vacations.  /{C And, }  {F uh, } I guess for places I like  to go, I enjoy going to the beach and [ [ having, + having outdoor, ] + being outdoors ] somewhere.  /Someplace that's very different than Texas. /",S
20438,"{C And } I, - /[ as far as, + ] [ maybe, + maybe ] as the summer heat comes along I would sort of like going somewhere where it's not so hot.  And being able to be outside, enjoy [ (( outsor-, )) +  outside ] activities,  /{C so. } -/",%
20440,"Enjoy going places where, - /I enjoy playing tennis,  /{C so } I like to have a tennis court there,  /[ {C or, } +  {C or } ] if it's at the beach, the beach is great.  /A pool is great.  /(( {C And, }  I )) , -/",S
20444,"{C And, }  we will be going to Estes Park, and Colorado Springs,  /{C so. } -/",S
20446,"One year we went to the southwest corner of Colorado, into Durango and  north of the area there. /",S
20448,"{C And } I, - /boy that's [ a nice, + a nice ] place to visit.  /It's really nice at, - /there's a [ nice, + nice ] train ride that goes up to the city of Silverton where they used to do a lot of silver mining. /",%
20450,"[ {C And, } + {F uh, } {C and then } ] {D actually, } [ north, + north ] of that is another town [ and, + ] [ a smaller, + on a smaller ] scale, I guess, than Silverton.  /[ {C But, } + I, {C and then } ] there's lots and lots [ of real, + of mountains ] that are covered with, {F uh, } boulders. /",S
20452,"{C So, }  I guess people Jeep through that area  /{C and } we did not have a chance to do that.  /{C But, }  I sure would like to go back there and do that again. /",S
20454,"I have not been,  /{C but } I have heard it's wonderful. /",S
20457,"[ {C And, } + {F uh, } <noise> {C  so } ] [ they have, + {F uh, } they are ] [ very, + very ] large condos.  /{C And, } they have quite a few rooms, [ {C and, } + {F uh, } {C so } ] [ we, + we ] will usually rent one for about a week or so.  /{C And, } -/",S
20459,go down. /,S
20465,"lot of nice waves usually, {F uh, } /",%
20471,"{F Um, } if you go further down, {F uh, } you will usually find some,  but not right in there.  /{F Uh, } I do not know why it is,  /{C but, }  {F uh, } it  (( just, )) - /[ it seems not, + it seems not ] to have as many [ there, + right there. ]  /{C But, }  {F uh, } [ we, + we ] enjoy it, {F uh, }  /it's, - /[ the place where we stay is, + we usually stay ] at the same place every year,  /{C and } <throat_clearing> they are, like I say right on the beach.  /{C So, } -/",S
20475,"{F uh, } sort of at the end of this [ little, + little ] point  /{C and, }  {F uh, } it's [ a, + ] at the very end,  /it's the last set of condominiums there,  /{C and } [ it's, + {F uh, } it's ] very nice.  {F Uh,  }  /it's not very expensive, {F uh, }  /you can, - /I think we are going to go with another couple and their kids.  /{C And, }  {F uh, } [ they have a, + we have a, ] {F uh, } I think it's three bedroom or two bedroom, {F uh, } condominium, which will sleep, <inhaling> I do not know, quite a few  (( about )) ,",%
20477,"six or eight.   {C And, }  {F uh, } cause it's got, {D you know, } pull out couches and  all that,  /{C and, } {F uh, } I think it's going to cost us, per couple, about three hundred dollars for the week. /",%
20485,"in fact, we  ] stayed an extra day or so, because we liked - /[ the, + {F uh, } the ] particular [ ro-, + ] {F uh, } {F uh, } {F uh, } suite we had gotten was very nice  /{C and,",%
20489,"{C But, }  {F uh, } it's a pretty nice place,  /you will need to try to go and,",S
20497,{C So. } -/,%
20500,"{C So } that will be an interesting turn on vacations for our family.  /{C So, }  I, -/",S
20504,"nine weeks of school, three weeks of vacation. /",%
20506,"[ {C And, }  {F uh, } in, + {C and } in  ] the summer would be more like a [ two month, + two month ] break. /",S
20508,"[ {C So, } + {C and } ] [ they hope to boost the, + they hope to boost the ] learning of the children.",S
20513,Yeah. /,B
20514,"yeah.  /{C So, }  <noise> it's <noise> - /[ {C so, } +  {D anyway, } {C so }  ]  [ maybe, + maybe ] within a year, we will see how that falls <laughter>. /",B
20515,Right. /,B
20516,"[ We will head for, + we will head for ] Florida, maybe in somewhat of an off season, instead of summer. /",S
20518,"{D So, }  {F uh. } -/",%
20531,"Right.  /{D Well, } I was just trying to make an introduction, here <laughter>. /",B
20532,"{F Oh, } okay. /",aa
20535,"I've just gotten [ a, +  another ] job at an elementary library at Barron. /",S
20538,"{D Well, }",S
20542,"-- since I'm a sub, and have different rooms to go to.  And always carry a sweater. /",%
20550,"{C And } [ it's, + it's ] interesting to notice when you go to different schools that some are a little more fancier than others and have a very casual, {F uh, } -/",S
20555,"That's about, - /[ I don't, + I don't ] really work in a profession that requires that I wear a business suit and, {D you know, } look really, -/",%
20557,Yeah <laughter>. /,B
20558,"-- {C and } you have to have the color for that particular school [ if you, + if you ] choose to participate in --",S
20560,-- spirit week.  /{C And } one might be a hat day where you have to come up with some --,%
20566,"{C And then } many schools on a particular day during, {F uh, } I guess football season, maybe all year long, they wear the school colors for, {F uh, } game day --",S
20568,"-- which, -/",%
20571,"Right,  /right.  /{C So } that would kind of give you [ a, + a ] clue, I guess  /[ {C and, } +  {C and } ] sometimes you get the long term stuff  /{C so } you're aware ahead of time --",B
20572,Yeah. /,B
20573,"-- of what's going on.  /That, - /{C so } that's, - /{C and } I don't know, {D you know, }  /[ I, + I ] think about, {D well, } the dress code they have for the kids, {D you know. }  /Are - /they   put one on the parents, or the teachers and say [ they have to, + the men have to ] wear ties  /{C and } there can be no blue jeans worn  /{C and, }  because some of the teachers I know wear, {F uh, } dress up jeans, not sloppy looking jeans --",%
20575,"-- but tapered jeans that they've had dry cleaned so they have got the crease  /{C and, }  {F uh, } {D you know, } they'll wear it with a nice top.  /[ {C And, } +  {C and, } ]  {F uh, } I don't know that that looks that bad.  /{C But, }  if you're going to tell the kids they [ c-, + ] have to dress up, I guess you can tell the teachers that, too. /",%
20577,Uh-huh. /,B
20578,"{C But } [ it, + I think it  ] varies,  [ [ it, + it ] + ] just so much.  /[ Anything, + anything ] can go. /",S
20580,"{C And } you can see in some of the departments in some of the schools, like  history at Clark, they're all pretty fancy.  /{C But } they're just sort of into clothes,  /{C and then } there's other departments --",S
20582,-- that aren't. /,%
20584,"{C And } they'll just wear your common, ordinary, {D you know, } whatever you [ might + <laughter> --",S
20586,"-- might  ] say, /",%
20589,Right. /,B
20590,"{C And so } you try to maybe follow those  if you know you're going there,  /you don't want to dress too tacky because you're <laughter> going to be in the same room with them. /",S
20597,"-- {C and } [ I, + I ] don't know how a coach would feel [ if, + ] that teaches health or  [ Eng-, + {D you know, } English, ] or whatever that they had to wear a tie.  /I, - /some of those male coaches, that might really, -/",S
20599,"Right,  /{C and } a T-shirt. /",B
20600,-- parachute pants. /,%
20602,"Yeah,  /well at --",B
20603,"Whether, -/",%
20609,That's what I would think. /,S
20612,"-- in ] a classroom situation, not in P E. /",%
20617,"{D You know, } {C so } he just left warm-ups on,  /[ {C but, } +  {C but, } ]  {F uh, } no,  /I think, really probably, [ they could, + they could, ] {F uh, } really, - /{C and } I don't know [ if, + if ] they [ put, + ] make uniforms the thing for the kids,  /I guess the teachers will have to follow suit with a dark skirt and a white top  /{C and, } -/",S
20625,-- in accordance with that. /,%
20628,Uh-huh. /,B
20629,"-- it's a lot of trouble [ to, + to ] take care of that.  /{C And, }  of course, the kids say, then why bother, just let me wear what I want.  /[ {C And, } + {C and } ] yet we can't to that either.  /I'd like to see them go [ to, + to ] not necessarily a uniform,  but saying that they've got to wear a button down shirt.  {D You know, }  /[ that would, + that would ] alleviate any T-shirts with sayings on them.  /{C But } if they could wear a button-down shirt and a pair of dark slacks and they could buy them anywhere they wanted  /{C and, } -/",%
20631,"{C And then } the girls, -/",S
20634,"Yeah,  /[ I, + I, ] -/",B
20635,"I don't, - /no,  /not in Plano. /",%
20639,-- {C but } they said in the Dallas schools that that helps their educational process there. /,S
20643,"{C So } it, - /{C and } then I think that's going to push teachers to dress a lot more professionally than they do. /",%
20661,"{C And so } that put off <barking> the program for a while.  /{C But, }  {F uh, } do you recycle? /",S
20668,-- for extra money. /,%
20670,"{C So } [ that's, + that's ] been their summer money  /{C and } they're fixing to go to Disneyland.  /{C So, } -/",S
20679,"-- couple of years ago  /{C and } she had to earn money for it  /{C and } she was too young to baby-sit.  /{C So, }  that's how she started.  /She started recycling cans  /{C and } from there we now recycle glass and newspapers and, {F uh, } aluminum cans and  plastics. /",%
20691,"# {D You know, } # [ it's, + it's ] not that much of a bother really.  /You just have to rinse out your bottles or whatever  /{C and } we use a lot of,",S
20695,Yeah.  /# Yeah. # /,B
20696,"-- # that # we got  ((   ))  /{C because } when the kids first went down, I said,  [ that, + {D you know } that's  ] great  /{C and } I was thinking, {D you know } maybe I'd help supplement it, {D you know } --",%
20698,-- when they turned them in  /{C but } <breathing> <noise> it's amazing how many cans you go through.,%
20703,"# {D You know, } # that [ we, +  we're ] generating a week.  /{F Um, } I know our neighbors, when we first went to this bin program said, {F oh, } there's no way, {D you know } we're going to have to have pickup twice a week.  /They were real upset  /{C but } [ they weren't, + they were ] only picking up once a week.  /{C And } we said to them, if you recycle,  ((   )) [ you'll, + {D you know, } you'll ] go two weeks without having to put out the green container. /",%
20705,"{C And, }  {F uh, } [ it's, + it's ] really amazing.  /The other thing he does, that my husband a real stickler about is we don't collect our grass clippings. /",S
20709,"# It's just a little # attachment for the lawn mower  /{C and } we mow once a week.  /{D You know, } [ no, + no ] more often then that.  /{C And then } the clippings just get mulched up and then just lay [ [ on the, + on, ] + on, ] [ the, + {F uh, } <lipsmack> the ] lawn.  /{C And } it's amazing,  /it's amazing.  /We don't collect any of that  /{C and } [ that, + that ] has cut down a lot in what we throw out. /",S
20711,Uh-huh. /,B
20712,{C And } I can't mow the yard with the grass catch on it. /,S
20716,"# {C So } [ I just # m-, + <laughter> I just mow ] it and leave it. /",S
20718,# It just # soaks in. /,S
20721,"-- if you're not,  {F uh, } [ if you're + ] catching your grass clippings.  /[  That, + that's ] that much fertilizer you have to use because it does fertilize the lawn.  /It's amazing. /",%
20723,Yeah.  /Yeah. /,B
20724,"{F Oh, } I like it better doing it.  /{D Well } one, - /<child_crying> it cuts down on my mow time anyway -- /",S
20726,-- # {C and } you zip through # it quicker. /,S
20731,"{C And } as soon as we use something, {D you know, } we crush it up and put it out there  /{C and then, } {D you know, } every few weeks we have [  recycling, + a recycling ] center {D like } near Wal-Mart. /",S
20733,"[ They're, + they ] have the containers that you can just go over there and drop it in  /{C and } it's really no trouble. /",S
20737,"{D You know, }  ((   )) , {F um, } I read [ [ a book one time + {E or } a m-, ] + a magazine ] article  /{C and } they said something about how you don't realize even just your small contribution, it seems like a small contribution  /{C but } it's not.  /If everyone were to recycle just their newspapers, they would [ s-, + save ] thousands and  thousands of trees [ a day. +",S
20739,"A day, ] just from not throwing out your newspapers.  /{C And, }  {F uh, } when you read that you think, {D well } {D gee, } maybe it is a big deal,",%
20744,"-- # {D you know, } # [ and, + and, ] how big they are. /",%
20746,"# {C Or } # like in New York, the barges [ that -- +",S
20748,"-- that ] go up and down [ the, + the ] river -- /",%
20750,"-- # {C and } they # don't have any place to put it  /{C and } it just floats in the ((   )) , - /it's {D like } ugh. /",S
20752,# No. # /,aa
20757,"# {F Um } # <throat_clearing>, /",%
20764,"# {C And } they will do the alum-, # -/",S
20768,"# The kids # keep those <laughter>.  /{C So, } -/",S
20772,"-- [ we don't, + we don't ] take the newspaper to begin with.  When, neither one of us are home # [ t-, + # --",%
20774,-- to ] read it. /,%
20776,"{C So } we don't have the newspapers but [ the, + the ] plastic and the glass <child>.  /At first, when it first started, [ [ it, + it, ] + it ] was hard.",S
20778,"{D You know, } because you're just used to throwing things. /",%
20790,"-- {C and then, } ] {F uh, } after a couple of days they take them all outside  /{C and, }  I put them in a big bag anyway -- /",%
20792,-- {C and then } they dump the bag out  /{C and then } they crush them.  /# {C So } that's # --,S
20794,-- their activity thing.   To # go out there and crush. # /,%
20811,"-- {C but } <noise> I know in some areas, [ [ [ it's really, + it, ] + it really is ] bad. /",%
20816,"it was a real brown area  /{C and, } -/",%
20819,"Particularly in the areas where there are industries, {F uh, } where they are burning a lot of coal,",S
20821,# and oil # --,%
20823,"-- [ up, + more up ] north, I guess, {F uh, }  /I think it's a bigger problem.  With the car pollution, anti-pollution devices,  /I think, {F uh, } air isn't as bad it once was, from the cars, because we certainly have plenty of cars in our area. /",%
20829,"# It # just makes the rain fall on the acid side  /{C and } after a period of time, I think that accumulates in, {F uh, } trees because they take it up through their roots, as well as it landing on the leaves, on surfaces,  /{D like } you've seen what it's done to buildings even --",S
20831,-- where it's really bad. /,%
20833,"<Swallowing> What's interesting, several years ago, I took a course, {F uh, } on, {F uh, } <lipsmack> {D well, } - /[ it was actually, + it was  ] put on by the power companies [ and, + ] about the various sources of energy and how much pollution there was,  /{C and }  there wasn't from various kinds [ of, + of ] energy. - /{C And, }  {F uh, } at that point in time, one person that was a speaker brought up the topic of acid rain  /{C and } it was kind of pooh-poohed, {D you know. }  /{F Oh, } you're making a mountain out of a molehill, kind of thing.  /{C And } it's turned out that, that's been very true, what he was forecasting about the accumulation [ of, + of ] the pollutants in the air and the acid rain and what it would do to foliage.  /{C So, }  it's kind of interesting the change in perspective from when I took that course.  /Now, a lot of people are really afraid of nuclear.  /{F Uh, } I'm not afraid of nuclear, having had that course because of how the nuclear that, {F uh, } they use is not bomb quality,  /{C and, }  we're so strict with all our controls in the United States. The chances [ of, + of ] an accident are slight,  /{C and, }  it doesn't pollute the air at all.  <laughter>  /It's safer to be around a nuclear plant then it is to be around a coal plant.  /Many more deaths have occurred in and dealing with coal plants then ever around nuclear plants.  /It's kind of funny because people are just petrified, at least some are, at the thought of nuclear. /",S
20840,"{D Well, } I know it's  ((   )) , {F um, } -/",%
20852,"[ {C And, } +  {C and } ] it, - /yes,  /it can be used  /{C and } it can help  /{C but, }  {F uh, } that was a problem that they were still working on.  /{C But, } -/",%
20854,"# {D Well } I, # -/",%
20857,"-- in the future, I think, maybe to help in some ways.  /It may not in all ways.  /Maybe they'll come up with fusion.   <Lipsmack> {D You know, } [ con-, +  be able to control  ] it.  /I don't know how long that'll take,  /{C but, }  <laughter> one of these days, - /{C because } that's perfectly clean. /",%
20859,"It's just we can't control it.  /Right now it takes more energy to cause fusion to occur then you get out,  /{C so, }  it isn't, not at all, - /{C and } you can't control it unless you gotten a huge electromagnetic field,  /{C so } that's not going to work.  At least not now.  /{C But, }  {F uh, } <static> who knows what the future will hold.  {F Uh, } as far as energy goes,  /[ I, + I ] think, <sigh> with solving some of the [ energy, + future energy ] problems, we'll probably solve some of the pollution problems as well. /",S
20865,to live on  /{C and } we got to take care of it. /,%
20867,# Uh-huh. # /,B
20868,"-- [ {C and, } +  {C and } ] for the future generations, too.  {F Uh, } /",%
20871,"-- # and # protecting the earth.  /{C And so, } if we can raise [ it, + ] {F uh, } {D you know, } generations with those concerns, we'll solve a lot of our problems.  /I'm afraid, - /I know I was part of the me generation where [ [ they didn't, +  ((   ))  so  many of them didn't, ] + people didn't ] care.  /{D You know, }  /it's whatever, {D you know, } - /recycle, {D well, } if it's a problem, forget that.  /{F Uh, } not throw the trash out the car window  /{C and } leave it in the car and then throw it away?  /How horrible, <laughter> {D you know. } /",%
20884,"-- {C and, }  {F uh, } another reason, - /[ one of the arguments, that [ really, + I really ] {D actually } have been kind of ambivalent about it, + {C but } one of the arguments that really,",S
20888,-- # someone else would feel # that about that person --,%
20890,"-- no matter how rotten they were, somebody loves them <laughter> </talking>. /",%
20895,"{C But, } {D you know, } {C and, } {D you know, } he's never going to be, to me, a functioning part of society.  /He's already been {C either } paroled, {C or } whatever, for child molestation. /",S
20899,"{F Oh, } really. /",B
20900,{D you know } justice.  /Uh-huh.  /Uh-huh.  /{C Or } {D whatever }  /{C and } most of the time I hear myself saying,%
20906,"{C but } I just am scared of capital punishment,I guess. /",S
20909,"-- [ [ I, + I'd, ] + {D you know, } I ] guess I have a hard time feeling merciful toward him,  /{C and } --",%
20911,Right. /,B
20912,-- the shelter and feed and clothe --,%
20914,-- them for the # rest of their life. # /,%
20918,Uh-huh. /,B
20919,"{D You know, } everybody would be just as scared to death, {D you know. }  /[ We, + we've ] had a real problem here in Texas with, {F uh, } prison overcrowding  /{C and } they've been releasing people left and right  /{C and, } {D you know, } they've committed murders and rapes and everything else,  /{C and, } {D you know, } you just think, {D you know, } where's the justice here. /",S
20921,"{E I mean, } {D you know, } they're not even having to serve out what they should be serving. /",S
20926,-- violent crimes. /,%
20930,-- I guess violent crimes would be the crimes where I can see it making the most sense. /,S
20932,"{D You know, } violent crimes [ with no, + {F uh, } with just ] malicious intent. /",S
20934,Yeah. /# Hang? #  <laughter>. /,B
20935,"Because, {E I mean, } that's just awful. /",S
20938,# Right. # /,B
20939,"# {C But, }  # {F uh, } I don't know.  It's just, -/",%
20942,"-- was off drugs and everything,  /{C but } she said, {F uh, } {D you know, } in prison you can get <sigh> anything.  /You can any drugs you want.  /There's, - /[ it, + it's ] just like being outside.  /{D You know, } people --",%
20944,"-- # find ways # around.  /{C And } there's a power structure that you have bow to  /[ {C and, } + {C and, } ] [ it really isn't, + for some people [ tha-, + ] who have been there for over, and over, and over, it really isn't, ] {F uh, } as bad.  /{E I mean, } there's, - /it's not that bad of a life as it should be --",%
20946,"-- [ b-, + ] for the punishment aspect. /",%
20948,{C But } the society is turned against punishment and more towards rehabilitation  /{C and } <swallowing> --,S
20950,"-- # maybe # that's [ why, + one of the reasons why ] crime has gone up, because it's not so scary anymore. /",%
20952,Right.  /{C And } what they're going to be doing when they --,B
20953,Right. /,B
20954,-- get out <laughter>. /,%
20968,{C And then } once in a while I'll pick up a WORKING WOMAN or  something and --,S
20970,"-- realize why I don't want to [ re-, + ] go back to work <laughter>.",%
20974,"{C And, }  {F uh, } I read magazines mainly because they're fast  /{C and } if I want to relax while I watch T V, <beep>  /of course, I'm one of those that does two things at once,  /{C and, }  {F uh, } I read GOOD HOUSEKEEPING and BETTER HOMES and MCCALL'S.  /{C And } I like them because they're kind of short and to the subject. /",S
20976,Uh-huh.  /{C And then } you stopped them all. /,B
20980,-- on subscribing to one in particular  /{C and then } I kind of get turned off by it.,%
20982,"Other than GOOD HOUSEKEEPING.  /GOOD HOUSEKEEPING is the one that kind of sets around for [ when, + {F uh, } when ] I'm really have time and I really want to read something, {D you know. } /",%
20984,I don't get into books too often because I have so many things that I stay occupied with --,S
20986,"-- {F uh, } on a general basis,  /{C and } we travel a lot  /{C so } I enjoy reading parts on travel in the various --",%
20988,"-- {D you know, } different ones. /",%
